No.,Nomor,Tanggal,Jenis Barang,Jml Barang,Satuan,Jns Pengguna,Nama Pengguna,Jns Identitas,No Identitas,Alamat
1,000859,31 Jan 2020,"ANGGUR MALAGA MEREK ORANG TUA @620 ml, kadar 14.7%","1.488,00",liter,Pengusaha TPE,MELINA,KTP,000000000000000,PALANGKARAYA
2,000855,31 Jan 2020,"GUINNESS @320 ml, kadar 4.9%","15,36",liter,Pengusaha TPE,BAGONG TOKO,KTP,000000000000000,PALANGKA RAYA
3,000853,31 Jan 2020,"DRUM @350 ml, kadar 43%","21,00",liter,Pengusaha TPE,SUMBER JAYA,KTP,null,PALANGKARAYA
4,000846,31 Jan 2020,"DRUM @700 ml, kadar 43%","16,80",liter,Pengusaha TPE,SUMBER JAYA,KTP,null,PALANGKARAYA
5,000846,31 Jan 2020,"Topi Miring Piala Mas @250 ml, kadar 19.7%","12,00",liter,Pengusaha TPE,SUMBER JAYA,KTP,null,PALANGKARAYA
6,000846,31 Jan 2020,"TOPI MIRING PIALA MAS @500 ml, kadar 19.7%","6,00",liter,Pengusaha TPE,SUMBER JAYA,KTP,null,PALANGKARAYA
7,000846,31 Jan 2020,"TOPI MIRING PIALA MAS @500 ml, kadar 19.7%","6,00",liter,Pengusaha TPE,SUMBER JAYA,KTP,null,PALANGKARAYA
8,000846,31 Jan 2020,"ANGGUR MERAH MEREK ORANG TUA @350 ml, kadar 14.7%","25,20",liter,Pengusaha TPE,SUMBER JAYA,KTP,null,PALANGKARAYA
9,000846,31 Jan 2020,"Topi Miring Piala Mas @1000 ml, kadar 19.7%","36,00",liter,Pengusaha TPE,SUMBER JAYA,KTP,null,PALANGKARAYA
10,000846,31 Jan 2020,"Topi Miring Piala Mas @1000 ml, kadar 19.7%","36,00",liter,Pengusaha TPE,SUMBER JAYA,KTP,null,PALANGKARAYA
11,000846,31 Jan 2020,"ANGGUR PUTIH MEREK ORANG TUA @650 ml, kadar 14.7%","156,00",liter,Pengusaha TPE,SUMBER JAYA,KTP,null,PALANGKARAYA
12,000846,31 Jan 2020,"Newport Blue @650 ml, kadar 20%","31,20",liter,Pengusaha TPE,SUMBER JAYA,KTP,null,PALANGKARAYA
13,000846,31 Jan 2020,"Newport @650 ml, kadar 20%","31,20",liter,Pengusaha TPE,SUMBER JAYA,KTP,null,PALANGKARAYA
14,000846,31 Jan 2020,"Iceland Citrus @700 ml, kadar 40%","8,40",liter,Pengusaha TPE,SUMBER JAYA,KTP,null,PALANGKARAYA
15,000846,31 Jan 2020,"Iceland Vodka Orange @700 ml, kadar 40%","4,90",liter,Pengusaha TPE,SUMBER JAYA,KTP,null,PALANGKARAYA
16,000846,31 Jan 2020,"ANGGUR MERAH MEREK ORANG TUA @650 ml, kadar 19.7%","78,00",liter,Pengusaha TPE,SUMBER JAYA,KTP,null,PALANGKARAYA
17,000846,31 Jan 2020,"ANGGUR MALAGA MEREK ORANG TUA @620 ml, kadar 14.7%","148,80",liter,Pengusaha TPE,SUMBER JAYA,KTP,null,PALANGKARAYA
18,000836,31 Jan 2020,"ANGGUR PUTIH MEREK ORANG TUA @650 ml, kadar 14.7%","1.560,00",liter,Pengusaha TPE,UD RAZIKIN,KTP,000000000000000,PALANGKA RAYA
19,000836,31 Jan 2020,"ANGGUR MERAH MEREK ORANG TUA @650 ml, kadar 19.7%","1.560,00",liter,Pengusaha TPE,UD RAZIKIN,KTP,000000000000000,PALANGKA RAYA
20,000836,31 Jan 2020,"Topi Miring Piala Mas @1000 ml, kadar 19.7%","600,00",liter,Pengusaha TPE,UD RAZIKIN,KTP,000000000000000,PALANGKA RAYA
21,000833,31 Jan 2020,"ANGGUR MALAGA MEREK ORANG TUA @620 ml, kadar 14.7%","3.348,00",liter,Pengusaha TPE,UD RAZIKIN,KTP,000000000000000,PALANGKA RAYA
22,000831,31 Jan 2020,"ANGGUR PUTIH MEREK ORANG TUA @650 ml, kadar 14.7%","7,80",liter,Pengusaha TPE,SANJAYA,KTP,000000000000000,PALANGKA RAYA
23,000831,31 Jan 2020,"ANGGUR MALAGA MEREK ORANG TUA @620 ml, kadar 14.7%","7,44",liter,Pengusaha TPE,SANJAYA,KTP,000000000000000,PALANGKA RAYA
24,000830,31 Jan 2020,"GUINNESS @500 ml, kadar 4.9%","6,00",liter,Pengusaha TPE,"TK,SEPTIANI MIRI",KTP,6210044802730001,JL.MAHIR MAHAR KM.8
25,000830,31 Jan 2020,"ANGGUR MALAGA MEREK ORANG TUA @620 ml, kadar 14.7%","37,20",liter,Pengusaha TPE,"TK,SEPTIANI MIRI",KTP,6210044802730001,JL.MAHIR MAHAR KM.8
26,000830,31 Jan 2020,"Asoka @250 ml, kadar 14.7%","6,00",liter,Pengusaha TPE,"TK,SEPTIANI MIRI",KTP,6210044802730001,JL.MAHIR MAHAR KM.8
